itemnumber,checkouts,biblionumber,itemcallnumber,author,title
270267,1,183741,PZ7.R7985 Hadh 2007,"Rowling, J. K",Harry Potter and the deathly hallows /
270269,1,183742,PS3537.I85 B4 2001,"Sinclair, Upton,",Between two worlds :
270284,1,183751,GC21 .E27 1996,"Earle, Sylvia A.,",Sea change :
270308,1,183774,DA260 .M6 2005,"More, Thomas,",The history of King Richard the Third /
270311,1,183777,JC131 .A33 2005,"Adams, Julia,",The familial state :
270312,1,183778,PZ7.T822963 Exp 1998,"Tuitel, Johnnie,",Mystery explosion! /
270317,1,183783,PE1065 .T36 1999,"Tchudi, Stephen,",Exploring and teaching the English language arts /
270323,1,183789,BR115.E3 H78 2007,"Hudnut-Beumler, James David",In pursuit of the Almighty's dollar :
270328,1,183794,E61 .M266 2005,"Mann, Charles C.",1491 :
270336,1,183802,E185.61 .R48 2006,,"Rhetoric, religion and the civil rights movement, 1954-1965 /"
270343,1,183809,D781 .P39 2004,"Paterson, Lawrence",Hitler's grey wolves :
270345,1,183811,DA914 .H345 2002,"Hanley, Brian","The IRA, 1926-1936 /"
270348,1,183814,DT655 .C335 2004,"Casement, Roger,",The eyes of another race :
270359,1,183825,PN1997 .B7322 2001,,Breaking away
270365,1,183831,PS3545.I5365 S8v 2006,,A streetcar named Desire
270366,1,183831,PS3545.I5365 S8v 2006,,A streetcar named Desire
270372,1,183837,PN1997 .B463 2000,,Ben-Hur
270373,1,183838,PN1997 .D6824 2006,,Double indemnity
270375,1,183840,PN1997 .L3872 2004,,Laura
270379,1,183844,PN1997 .P3862 2003,,The pawnbroker
270384,1,183848,PN1992.77 .L863 2006,,The L word.
270392,1,183853,BT108 .H38 2007,"Hauerwas, Stanley,",The state of the university :
270394,1,183855,DA965.D4 O3 2001,"O'Brien, Mark","De Valera, Fianna Fáil and the Irish Press /"
270412,1,183873,PR2976 .S3382 2000,,A Shakespeare reader :
270413,1,183874,PR2894 .M385 2001,"McDonald, Russ,",The Bedford companion to Shakespeare :
270425,1,183886,PR2833.A2 R34 2006,"Shakespeare, William,",The tempest /
270433,1,183894,HV2474 .C67 1995,"Costello, Elaine",Signing :
270436,1,183897,D754.I6 B69 1999,"Bowen, Elizabeth,","""Notes on Eire"" :"
270457,1,183907,PN6737.B7 F8 1990,"Briggs, Raymond",Fungus the bogeyman /
270461,1,183911,B528 .S299 2005,"Sherman, Nancy,",Stoic warriors :
270493,1,183942,ND237.J66 A4 2007,,Jasper Johns :
270507,1,183956,QC173.6 .T39 2000,"Taylor, Edwin F.",Exploring black holes :
270514,1,183963,QC16.E5 C5 2007,"Clark, Ronald William",Einstein :
270516,1,183965,SH433 .A1847,"Walton, Izaak,",The complete angler /
270534,1,183982,PR4662 .A1 1991,"Eliot, George,",Middlemarch :
270548,1,183995,PN1997 .H533 1998,,High plains drifter
270582,1,184029,PS3515.E37 A15 1998,"Hemingway, Ernest,",The complete short stories of Ernest Hemingway.
270586,1,184033,BX8611 .M67 2007,,The Mormons
270595,1,184038,BR100 .W37 2007,"Ward, Keith,",Re-thinking Christianity /
270599,1,184042,TR655 .V58 2006,,Vitamin Ph :
270607,1,184050,ML410.A442 E33 2007,"Eddie, William Alexander",Charles Valentin Alkan :
270609,1,184052,PS3558.A67 S28 2006,"Harrison, Jim,",Saving daylight /
270611,1,184054,D766.82 .C5 2005,"Clark, Mark W.",Calculated risk /
270613,1,184056,Q143.H9 S24 2006,"Sachs, Aaron",The Humboldt current :
270635,1,184074,HQ519 .P65 2003,,Points & counterpoints :
270931,1,184097,TR145 .P48 2004,,Photography :
270936,1,184102,PN1997 .P824 2007,,Sublime
270941,1,184107,N6370 .W655 2007,"Woods, Kim",Viewing Renaissance art /
270947,1,184113,TR647 .O64 2006,"Opie, Catherine,",Catherine Opie :
270948,1,184114,TR647 .O65 2006,"Opie, Catherine,",Chicago (American cities) /
270960,1,184126,PN2237 .J63 2006,"Johnson, Odai,",Absence and memory in colonial American theatre :
270963,1,184129,PN2091.S8 W57 2006,"Winslow, Colin.",The handbook of set design /
270964,1,184130,PN2091.S8 E17 2006,"Ebrahimian, Babak A.",Sculpting space in the theater :
270971,1,184137,PN2297.L5 S45 2005,"Sell, Mike,",Avant-garde performance & the limits of criticism :
270975,1,184141,GV1785.R52 V35 2006,"Vaill, Amanda.",Somewhere :
270976,1,184142,PA6069 .M28 2006,"Marshall, C. W.,",The stagecraft and performance of Roman comedy /
270999,1,184163,PT2621.A26 .K87 2003,"Kuper, Peter,",The metamorphosis /
271029,1,184191,NC1429.M38 F35 2003,"Matt, Joe,",Fair weather /
271033,1,184195,Q130 .O88 2003,"Ottaviani, Jim.",Dignifying science :
271034,1,184196,P94.65.U6 J46 2006,"Jenkins, Henry,",Convergence culture :
271059,1,184208,PN6727.C7 M97 2000,"Crumb, R.",My troubles with women /
271061,1,184210,ND249.C3 D43 2003,"Debon, Nicolas.",Four pictures by Emily Carr /
271070,1,184218,N6535.C5 T467 2007,,Group work /
271077,1,184225,PN6727.C29 A5 2001,"Campbell, Eddie,",Alec :
271079,1,184227,PN6727.K83 J8 1988,"Kurtzman, Harvey","Harvey Kurtzman's Jungle book, or, Up from the apes! (and right back down)."
271080,1,184228,PQ7798.23.U56 J63,Muñoz,Joe's bar /
271085,1,184233,PN6727.M29 C34 1998,"McKean, Dave",Cages /
271087,1,184235,PN6733.B4556 S83 2004,"Bell, Marc,",Marc Bell's The stacks.
271104,1,184252,PR9199.3.A8 Z565 2006,,The Cambridge companion to Margaret Atwood /
271116,1,184264,TP983 .T87 2006,"Turin, Luca.",The secret of scent :
271132,1,184278,PN1997 .M4264  2005,,Monty Python's the meaning of life
271139,1,184285,LB1140.5.L3 S39 2004,"Schickedanz, Judith A.,",Writing in preschool :
271140,1,184286,LB1140.5.L3 M35 2005,"Matteson, David M.",Assessing and teaching beginning writers :
271142,1,184288,QP531 .B547 2007,,Biological inorganic chemistry :
271161,1,184307,GV1785.D8 W66,"Wood, Ean.",Headlong through life :
271162,1,184308,DB851 .G89 2007,"Gronberg, Tag.",Vienna :
271171,1,184317,N7342 .S35 2007,"Salviati, Filippo.",Chinese Art /
271172,1,184318,PT2635.E68 I613 1983,"Remarque, Erich Maria,",All quiet on the western front /
271173,1,184319,PT2617.E85 S7 2002,"Hesse, Hermann,",Steppenwolf /
271174,1,184320,PT2621.A26 S33 1992,"Kafka, Franz,",The castle /
