itemnumber,checkouts,biblionumber,itemcallnumber,author,title
267773,883,181685,,,Writing Center Key
301921,60,348812,Pers Copy B 266,,Single Variable Calculus/COMPLETE SOLUTIONS MANUAL
308078,56,361061,Pers Copy B 537,,Accounting: Tools for Business Decision Making.
297586,52,342803,Pers Copy B 381,"Kostelnik, Soderman, Whiren & Rupiper",Developmentally Appropriate Curriculum: Best Practices in Early Childhood Education
306457,47,352136,Pers Copy B 519,,"Chemistry: An atoms focused approach. / GILBERT, KIRSS, FOSTER & BRETZ"
44727,44,32936,PS374.S5 E93 1997,"Evans, Robert C.",Short fiction :
250623,44,167125,PN1997 .S647 2003,,Spirited away
292817,43,316055,Pers Copy B 144,,FRN 221 Flashdrive
289196,39,202657,PN1992.77 .G353 2012,,Game of thrones
297396,38,342613,Pers Copy X 306,,Ghosts in the Nursery
288674,37,202171,MT820 .M595 2008,"Miller, Donald Gray,",Resonance in singing :
297393,36,342612,Pers Copy x 311,,Cognitive Behavior Therapy Basics and Beyond. 
297555,34,342774,Pers Copy B 385,"McMurry, Susan.",Organic Chemistry. 
288649,33,202147,RF510 .V633 2006,,Vocal health and pedagogy /
262340,32,177097,PN1997 .P7462 2000,,Princess Mononoke
296090,32,330638,PN1997 .G826 2014,,Guardians of the galaxy
288675,30,202172,MT821 .M34 2012,"McCoy, Scott Jeffrey",Your voice :
298460,30,347059,Pers Copy B 475,,Chemistry atoms first
284584,29,196122,PN1997 .T3634 2011,,Tangled
300009,29,347789,MT821 .M24 2013,,What every singer needs to know about the body /
315156,29,366745,HM586 .S64 2019,,"Sociology, exploring the architecture of everyday life :"
177917,27,115575,PR2981 .B3,"Barber, C. L.",Shakespeare's festive comedy;
292187,27,207184,PN1997 .H3782 2002,,Harry Potter and the sorcerer's stone
294496,27,318078,PN1992.77 .G3532 2013,,Game of thrones :
296152,27,330700,PN1992.77 .G3534 2015,,Game of thrones
301684,27,348669,QP306 .L355 2014,"LeBorgne, Wendy DeLeo,",The vocal athlete /
306456,27,352135,Pers Copy B 518,,STUDENT SOLUTIONS MANUAL Chemistry: An atoms focused approach /Brewer
288197,26,201708,PN1997 .M96 2010,,My neighbor Totoro
299274,26,347403,PN1992.77 .G3535 2016,,Game of thrones
301920,26,348811,Pers Copy B 204,,Single Variable Calculus/STUDENT SOLUTION MANUAL
272512,25,185466,PN1995.9.F6735 B437 2006,,Before the fall
279425,25,191522,PN1997 .U66 2009,,Up
286215,25,197680,PN1997 .A7477 2008,,The aristocats
300270,25,347899,N5300 .J3 2016,,Janson's History of art :
300982,25,348388,PN1997 .D4226 2016,,Deadpool
303257,25,349655,PErs Copy B 502,,Developing Profiles Pre Birth through Adolescence.
293042,24,316298,LD131.A62 B45 2014,"Beld, Gordon,",A history of Alma College :
296269,24,330819,PN1997 .B537 2015,,Big hero 6
69381,23,49439,Headphones,,Headphones.
154015,23,97678,N7760 .C27 1990,"Carpenter, Thomas H.",Art and myth in ancient Greece :
262341,23,177098,PN1997 .K545 2003,,Kiki's delivery service
289319,23,202789,PN1997 .B728 2012,,Brave
297392,23,342612,Pers Copy x 311 C.2,,Cognitive Behavior Therapy Basics and Beyond. 
301851,23,348741,Pers Copy B 179,,The Norton Field Guide to Writing with Readings and Handbook.
306473,23,352137,Pers Copy B 514,,Tumba. / M. Canion
281572,22,193384,PN 1997 .P7465 2010,,The princess and the frog
297394,22,342613,Pers Copy X 306,,Ghosts in the Nursery
301800,22,348728,Pers Copy B 601,,Inclusive Strategies for Young Children / MOORE
303087,22,349394,PN 1992.77 .G336 2016,,Game of thrones.
258392,21,173896,PN1997 .D42 2006,,Dead Poets Society
273414,21,186262,PN1997 .H3785 2007,,Harry Potter and the Order of the Phoenix
277962,21,190244,PN1997 .T944 2009,,Twilight
289360,21,202827,PN1997 .S5376 2006,,She's the man
294154,21,317741,PN1992.77 .G3533 2014,,Game of thrones
295844,21,330369,PN1997 .P766 2009,,The proposal
303254,21,349629,Pers Copy B 181,,Yardsticks: Children in the Classroom Ages 4-14/WOOD
274194,20,186993,PN1997 .H3784 2007,,Harry Potter and the prisoner of Azkaban
289030,20,202497,PN1997 .A9363 2012,,Marvel's The Avengers
292648,20,208232,MT820 .B795 2013,"Bozeman, Kenneth.",Practical vocal acoustics :
311151,20,363526,PZ73.C364 Tum 2017,,Tumba /
245922,19,163873,PN1997 .L673 2002,,"The lord of the rings, the fellowship of the ring"
250263,19,166865,PN1997 .H378 2003,,Harry Potter and the chamber of secrets
280069,19,192088,PN1997 .H3786 2009,,Harry Potter and the Half-Blood Prince
287932,19,201456,PN1997 .A422 2004,,Aladdin
288706,19,202203,CB245 .U64 1986,,University of Chicago readings in Western civilization /
293263,19,316849,PN1997 .F769 2014,,Frozen
299582,19,347552,PN1997 .H863 2016 pt.2,,The Hunger Games.
306721,19,352253,Pers Copy B 273,,Organic Chemistry / McMurry 8th Ed.
258820,18,174252,PN1997 .S7278 2004,,Star wars.
260750,18,175756,PN1997 .S57342 2004,,Shrek 2
270383,18,183847,PN1997 .H3783 2006,,Harry Potter and the goblet of fire
284157,18,195717,NK4645 .S47 1994,"Shapiro, H. A.",Myth into art :
286492,18,197940,PN1997 .L56 2011,,The lion king
292514,18,207623,PN1997 .M6676 2013,,"Monsters, Inc."
296335,18,330931,PN1997 .H863 2015,,The Hunger Games
297749,18,343039,PN1997 .A9364 2015,,Marvel Avengers
297939,18,343424,PN1997 .J874 2015,,Jurassic world
297942,18,343427,PN1997 .I573 2015,,Inside out :
298497,18,347090,Pers Copy B 493,,Accounting Information Systems.
39475,17,30295,LD131.A62 W57 1986,,Within our bounds :
214175,17,142787,N7760 .S27313 1992,"Schefold, Karl",Gods and heroes in late archaic Greek art /
260367,17,175436,PN1997 .P745 2001,,The princess bride
273495,17,186339,PN1997 .R62493 2002,,The Rocky Horror picture show
287045,17,198668,PN1997 .H3787 2011 pt.2,,Harry Potter and the deathly hallows
290182,17,203634,PN1997 .P5723 2013,,Pitch perfect
298498,17,347091,PN1997 .M37 2016,,The Martian
306563,17,352167,Pers Copy B 512 c.2,,Understanding Nutrition / Whitney & Rolfes
308744,17,361984,HN59.2 .M377 2016,"Martin, Courtney E.",The new better off :
252561,16,168612,MA LED CSR L62,,The Complete studio recordings
252562,16,168612,MA LED CSR L62,,The Complete studio recordings
253879,16,169644,PN1997 .F56 2013,,Finding Nemo
254363,16,170103,PN1997 .F5337 2002,,Fight club
254418,16,170153,N7760 .W66 2002,"Woodford, Susan",Images of myths in classical antiquity /
259377,16,174698,PN1997 .E438 2004,,Elf
275672,16,188221,PN1997 .W244 2008,,WALL-E
285239,16,196671,PN1997 .S72784 2001,,"Star wars, episode I"
285662,16,197060,PN1997 .L6733 2003,,The lord of the rings
286073,16,197548,PN1997 .E2792 2010,,Easy A
287044,16,198667,PN1997 .H3787 2011 pt.1,,Harry Potter and the deathly hallows
292465,16,207557,PN1997 .M6677 2013,,Monsters university
300162,16,347937,PN1997 .S576 2016,,Sisters
302004,16,348835,MT820 .N292 1999,"Nair, Garyth,",Voice tradition and technology :
308079,16,361062,Pers Copy B 251,,Advanced Accounting. / Halsey & Hopkins.
308122,16,343231,PZ73 .C3656 2010,,Agentes secretos y el mural de Picasso /
252563,15,168612,MA LED CSR L62,,The Complete studio recordings
258643,15,174093,PN1997 .M4263 2004,,Mean girls
263965,15,178470,PN1997 .S72785 2005,,Star wars.
264063,15,178567,PN1997 .S727845 2002,,Star wars.
268743,15,182512,PN1997 .S72781x 2006,,Star wars.
270009,15,183537,PN1997 .L5775 2006,,The little mermaid
280061,15,192080,PN1995.9.F6735 W38 2009,,The wave
283383,15,195021,PN1997 .I523 2010,,Inception
288157,15,201664,PN1997 .A9372 2010,,Avatar
295575,15,330048,PN1997 .M344 2014,,Maleficent
297728,15,343019,PN1997 .I5742 2011,,Insidious /
297750,15,343040,PN1992.77 .O812 2015,,Outlander
299902,15,347764,Pers Copy X 91,,Tognotti - Scientific Triumphalism & Learning from Facts
300967,15,348403,CB245 .N62 2002,"Noble, Thomas F. X.",The foundations of Western civilization
300981,15,348389,PN1997 .Z667 2016,,Zootopia
303255,15,349630,Pers Copy B 915 C.2,,Observing Development of the Young Child/BEATY
306404,15,352099,Pers Copy B 520,,Ancient Rhetorics for Contemporary Students / Crowley & Hawhee
307779,15,360866,PN1992.77 .G3536 2016,,Game of thrones.
91110,14,64411,PZ7.R7968 Har 1999,"Rowling, J. K",Harry Potter and the chamber of secrets /
133827,14,82916,DVD player,,DVD player (Multi-region)
225908,14,151160,PR2848.A2 B6,"Shakespeare, William,",Shakespeare's Sonnets /
252565,14,168612,MA LED CSR L62,,The Complete studio recordings
253503,14,169442,Q162 .B88 2003,"Bryson, Bill",A short history of nearly everything /
264782,14,179103,PN1997 .L6735 2004,,Lord of the rings.
268574,14,182371,PN1997 P7377 2005,,Pretty woman
276224,14,188726,PN1997 .N5333 2008,,Tim Burton's The nightmare before Christmas
277613,14,189944,PN1997 .T9367 2008,,27 dresses
282730,14,194424,PN1997 .E4637 2005,,The Emperors new groove
286214,14,197679,PN1997 .H6774 2011,,Horrible bosses
286602,14,198043,PN1997 .H446 2011,,The help
289079,14,202550,PN1992.77 .C37 2009,,Castle
293266,14,316852,PN1997 .H428 2013,,The heat
296153,14,330701,PN1997 .T35 2015,,The tale of the Princess Kaguya
296284,14,330879,PN1992.77 .O8 2015,,Outlander
303109,14,349472,PN1997 .G564 2016,,Ghostbusters
304975,14,351143,PN1997 .M626 2017,,Moana
305189,14,351537,PN1997 .H522 2017,,Hidden figures
310862,14,363380,Pers Copy B 370,,Agentes secretos y el mural de Picasso/CANION
312093,14,349630,Pers Copy B 915,,Observing Development of the Young Child/BEATY
20644,13,16647,PR2848 .V46 1997,"Vendler, Helen Hennessy",The art of Shakespeare's sonnets /
213051,13,142148,N7153.G48 A4 1991x,"Giger, H. R.",H.R. Giger's Necronomicon /
245973,13,163918,MA YES CE Y 62,,Close to the edge
251123,13,167516,PN1997 .M3774 1999,,The Matrix
252564,13,168612,MA LED CSR L62,,The Complete studio recordings
270006,13,183534,PN1997 .P622 2005,,Pocahontas
271839,13,184890,PN1997 .H628 2002,,Hocus pocus
276324,13,188781,PN1997 .S72782 2006,,Star wars.
277473,13,189807,PN1997 .M6679 2001,,Monty Python and the Holy Grail
286222,13,197687,PN1997 .O533 2008,,101 Dalmatians
287327,13,199596,PN1997 .M866 2012,,The Muppets
287895,13,201422,PN1992.77 .S53722 2012,,Sherlock
288667,13,202164,PN1997 .C3672 2011,,Captain America :
289078,13,202549,PN1992.77 .C372 2010,,Castle
291452,13,206354,PN1997 .H862 2002,,The hunchback of Notre Dame
292714,13,208633,PN1997 .F7658 2013,,From up on Poppy Hill
292828,13,316068,F1412 .C642 1998,,Colonial Spanish America :
293818,13,317391,PN1997 .H47 2014,,Her
294787,13,318370,PN1997 .I751 2008,,Iron Man
295297,13,318848,PN1997 .T48 2011,,Thor
296021,13,330547,PN1997 .F359 2010,,Fantastic Mr. Fox
298654,13,347176,PN1997 .H624 2015,,The hobbit
299906,13,347766,Pers Copy X 90,,"Ofcansky - ""The 1889 -97 Riderpest Epidemic."""
300007,13,347791,MT820 .N2917 2007,"Nair, Garyth,",The craft of singing /
300966,13,348362,PN1997 .B324 2015,,Back to the future
302398,13,349055,Pers Copy B 195,,School & Society./FEINBERG & SOLTIS
305366,13,351601,PN1997 .L352 2017,,La La Land
310751,13,363289,Pers Copy B702,,"Futbol en Madrid - Ardit, Paco"
252914,12,168894,PN1997 .L3297 1999,,Labyrinth
262893,12,177565,PN1997 .A663 2002,,Anne of Green Gables
262895,12,177567,PN1997 .S528 2004,,Shaun of the dead
267449,12,181384,PN1997 .V467 2006,,V for vendetta
270476,12,183926,PZ7.R79835 Har 1998,"Rowling, J. K",Harry Potter and the sorcerer's stone /
270477,12,183926,PZ7.R79835 Har 1998,"Rowling, J. K",Harry Potter and the sorcerer's stone /
271856,12,184907,ML3830 .S13 2007,"Sacks, Oliver W.",Musicophilia :
273496,12,186340,PN1997 .E523 2008,,Enchanted
275148,12,187863,PN1997 .S6335 2008,,Sleeping Beauty
277472,12,189806,PN1997 .P4737 2007,,Peter Pan
281940,12,193704,PN1992.77 .D62782 2007,,Doctor Who.
283784,12,195363,PN1997 .J87 2008,,Jurassic Park
287919,12,201443,PN1997 .R624 2006,,Robin Hood
289035,12,202502,PN1997 .S8363 2008,,Step brothers
293772,12,317345,PN1997 .A5636 2002,,Anne of Green Gables
293824,12,317397,PN1997 .H622 2013,,The hobbit
294170,12,317757,PN1997 .C563 2012,,Cinderella
294567,12,318144,PN1997 .G724 2014,,The Grand Budapest Hotel
295293,12,318844,PN1997 .C33724 2014,,Captain America
295430,12,319121,Pers Copy B 613,Phillips & Soltis.,Perspectives on Learning. 
295845,12,330370,PN1997 .Y683 2011,,You again
295860,12,330385,PN1997 .I447 2014,,If I stay
297941,12,343426,PN1997 .T725 2015,,Trainwreck
299268,12,347410,PN1997 .I578 2015,,Insurgent
301980,12,348822,Pers Copy B 10,,Muscles as Molecular & Metabolic Machines./Hochachka
302138,12,348905,PN1995.9.F6735 B476 2003,,Berlin is in Germany
303288,12,105719,Per Z 1219 .N4,,The New York review of books.
303702,12,349891,Pers Copy B 189,,La Vampirata/Canion
304542,12,350440,PN1997 .G575 2017,,The girl on the train
305113,12,351466,PN1997 .A778 2017,,Arrival
310078,12,362888,PN1997 .G737 2018,,The greatest showman /
310721,12,363281,Pers Copy B 700,,"Felipe Alou: Desde las valles a las mantanas - Gaab, Carol"
312581,12,364543,Pers Copy B 227,,"Human Anatomy / McKINLEY, O'LOUGHLIN..."
84,11,54,PN3375 .G5,"Gilkes, Lillian Barnard,",Short story craft.
69383,11,49439,Headphones,,Headphones.
244265,11,162412,MA COST TYM C 54,"Costello, Elvis",This year's model
250624,11,167126,PN1997 .T732 2003,,Treasure planet
261163,11,176152,PN1997 .I527 2005,,The Incredibles
270544,11,183991,PN1995.9.F677 L323 2007,,El laberinto del fauno
277441,11,189773,MA BOWI OUT B 00,"Bowie, David",Outside
281573,11,193385,PN1997 .N485 2010,,The twilight saga.
281722,11,193523,PN1997 .A4424 2010,,Alice in Wonderland
282539,11,194252,PN1997 .L6834 2010,,The lovely bones
283217,11,194858,PN1997 .H472 1999,,Hercules
283277,11,194914,MA YES FRA Y 89,,Fragile
286217,11,197682,PN1997 .M842 2004 DVD,,Mulan
286416,11,197865,PN1997 .E244 2010,,The twilight saga.
288608,11,202106,PN1997 .H86 2012,,The hunger games
289077,11,202548,PN1992.77 .C373 2011,,Castle
289108,11,202579,PN1997 .H3478 2009,,Hairspray
291132,11,205663,N6915 .C35 2012,"Campbell, Stephen J.",Italian Renaissance art /
291257,11,205892,PN1997 .W375 2013,,Warm bodies
294063,11,317648,PN1997 .B437 2008,,Beetlejuice
295036,11,318624,QK980 .H68 2012,,How to grow a planet
295298,11,318849,PN1997 .T481 2014,,Thor
296174,11,330723,HD60 .N45 2012,,Naked brand
296273,11,330867,PN1997 .T536 2015,,The theory of everything
296274,11,330868,PN1997 .B572 2015,,Birdman
296496,11,331099,PN1997 .U527 2015,,Unbroken
296509,11,331112,PN1997 .I571 2015,,Interstellar
297223,11,342443,PN1997 .H652 2015,,Home
297726,11,343017,PN1997 .B654 2015,,The book of life
297729,11,343020,PN1997 .C6648 2013,,The conjuring
299903,11,347764,Pers Copy X 91,,Tognotti - Scientific Triumphalism & Learning from Facts
300160,11,347939,PN1997 .S232 2012,,Safety not guaranteed
300979,11,348391,PN1997 .P75 2016,,Pride and prejudice and zombies
300983,11,348387,PN1997 .M324 2015,,Mad Max.
301801,11,348729,Pers Copy B 604,,How to Handle Hard to Handle Preschoolers.
301802,11,348730,Pers Copy B 603,,Transition Magician - LAWSON & PLUM
302966,11,349325,PN1997 .P5723 2015,,Pitch perfect 2
306474,11,352138,Pers Copy B 515,,El escape Cubano
306490,11,352147,PN1997 .D634 2017,,A dog's purpose
306517,11,352167,Pers Copy B 512,,Understanding Nutrition / Whitney & Rolfes
307161,11,360481,PN1997 .A575 2015,,Ant-Man
307162,11,360477,PN1997 .W661 2017,,Wonder Woman /
309395,11,362404,PN1997 .G476 2017,,Get out
309673,11,362610,PN1997 .P669 2017,,Ponyo /
311358,11,342591,Pers Copy B 907,"Berk, Laura","Infants, Children and Adolescents. "
311538,11,363886,PN1997 .S691 2017,,Spider-man :
315830,11,366956,Pers Copy B 2008,,Santana
148635,10,93874,PZ8.3.G276 Og 1990,"Seuss,","Oh, the places you'll go! /"
162790,10,104893,BF204.5 .M68 1994,"Moustakas, Clark E.",Phenomenological research methods /
248420,10,165149,D13 .G47 1998,,A global encyclopedia of historical writing /
249212,10,165718,PZ8.3.G276 G7 1988,"Seuss,",Green eggs and ham /
250373,10,166918,PN 1997 .M6846 2002,,Moulin Rouge!
251021,10,167415,PN1997 .I232 2002,,Ice age
253030,10,169001,PR9199.3.A8 H3 1998,"Atwood, Margaret,",The handmaid's tale /
253950,10,169714,MA ELEC ELDO E 19,,Eldorado
257928,10,173493,MA SPEN BSDG S 23,,The best of Spencer Davis Group
258914,10,174344,PN1995.9.F6735 G66 2004,,Good bye Lenin!
261595,10,176479,PN1997 .N365 2004,,Napoleon Dynamite
262343,10,177100,PN1997 .K393 2005,,Kaze no tani no Naushika
264209,10,178694,PN1997 .M57727 2005,,Mr. & Mrs. Smith
268562,10,182359,PN1997 .W4777 2003,,West Side story
269249,10,182988,PN1997 .D484 2006,,The devil wears Prada
271249,10,184384,MA SEGE ST S 20,"Seger, Bob.",Stranger in town
271891,10,184942,PN1997 .R372 2007,,Ratatouille
272200,10,185233,PN1997 .B622 2007,,Blade Runner
273121,10,186016,PN1997 .P8923 1999,,Alfred Hitchcock's Psycho
276384,10,188829,PN1992.77 .P792 2008,,Psych.
280068,10,192087,PN1997 .F5833 2009,,(500) days of Summer
283207,10,194848,PN1997 .A527 2006,,Anastasia
284583,10,196121,PN1997 .S4275 2011,,Secretariat
285815,10,197309,PN1997 .H363 2009,,The hangover
286223,10,197688,PN1997 .L3292 2006,,Lady and the Tramp
286601,10,198043,PN1997 .H446 2011,,The help
289076,10,202547,PN1992.77 .C374 2012,,Castle.
289696,10,203072,Pers Copy B 135,"Kleiner, Fred S.",Gardner's Art through the ages.- 13th ed.  
290160,10,203617,PN1997 .B734 2013,,Breaking dawn.
290445,10,203858,PN1997 M5436 2013,,Les misérables
290556,10,203971,PN1997 .S5483 2013,,Silver linings playbook
291451,10,206353,PN1997 .P4747 2013,,The perks of being a wallflower
293723,10,317295,PN1997 .S424 2014,,The secret life of Walter Mitty
294062,10,317647,PN1997 .B428 2006,,A beautiful mind
295842,10,330367,PN1997 .S966 2013,,The sword in the stone
295932,10,330459,PN1997 .M393 2015,,The maze runner
296151,10,330699,PN1997 .M375 2005,,Matilda
299907,10,347766,Pers Copy X 90,,"Ofcansky - ""The 1889 -97 Riderpest Epidemic."""
301793,10,348724,PN1997 .M35 2016,,The man who knew infinity
302203,10,348931,Pers Copy B932,,Grit: The Power of Passion and Perseverance
305191,10,351535,PN1997 .F357 2017,,Fantastic beasts and where to find them /
307164,10,360478,PN1997 .G576 2017,,Girls trip
307165,10,360479,PN1997 .G826 2017,,Guardians of the galaxy.
170891,9,110115,PZ7.N964 Ih 1998,"Numeroff, Laura Joffe",If you give a pig a pancake /
235763,9,157963,N5300 .J3 2001,"Janson, H. W.",History of art /
236121,9,158307,PN1997 .S26d 1999,,Saving Private Ryan
237901,9,159874,PN1997 .S668 2001,,Snow White and the seven dwarfs
243602,9,161812,D23 .B48 2002,"Blainey, Geoffrey",A short history of the world /
248872,9,165508,TT922 .H48 2002,"Hesselberth, John,",Mastering cone 6 glazes :
258880,9,174311,PN1997 .O2326 2002,,Ocean's eleven
261731,9,176611,PN1997 .P5268 2005,,Andrew Lloyd Webber's The Phantom of the Opera
261732,9,176611,PN1997 .P5268 2005,,Andrew Lloyd Webber's The Phantom of the Opera
262580,9,177275,MA KANS LEFT K 86,,Leftoverture
265027,9,179303,PN1997 .S547 2003,,Shirley Temple Festival
265326,9,179540,PN1997 .S768 1995,,Stowaway
265980,9,180054,PN1997 .L587 2005,,The littlest Rebel
266734,9,180717,V ROHR HDWB R 05,"Rohr,Richard.",How do we breathe under water?
266901,9,180879,PN1997 .I766 2004,,The iron giant
270601,9,184044,PN1997 .M3364 2006,,The magnificent seven
271094,9,184242,PN6747.G5 A7 1987,"Moebius,",The airtight garage /
272119,9,185157,Q327 .B52 2006,"Bishop, Christopher M.",Pattern recognition and machine learning /
272487,9,185444,PN1997 .E2749 2005,,The early years
272488,9,185445,PN1997 .M9327 2006,,My early years.
273013,9,185914,PN2287.T46 S55 2005,,Shirley Temple
273248,9,186106,PN1997 .B5832 2006,,The blue bird
273249,9,186107,PN1997 .R4233,,Rebecca of Sunnybrook Farm
273250,9,186108,PN1997 .L57 2005,,The little colonel
273251,9,186109,PN1997 .B7433 2005,,Bright eyes
273252,9,186110,PN1997 .L577 2000,,The little princess
273253,9,186111,PN1997 .S5473 2005,,Shirley Temple.
273254,9,186112,PN1997 .C367 2006,,Captain January
273255,9,186113,PN1997 .C874 2005,,Curly top
273256,9,186114,PN1997 .L57743 2005,,Little Miss Broadway
273257,9,186115,PN1997 .S826 2006,,Stand up and cheer!
273351,9,186204,PN1997 .W4384 2008,,Wee Willie Winkie
274836,9,187585,DC33.7 .B6513 2000,"Bourdieu, Pierre,",Distinction :
278282,9,190475,PN1997 .R426 2008,,Rear window
281362,9,193178,PN1997 .A43742 2005,,American psycho
283385,9,195023,PN1997 .S57344 2010,,Shrek forever after
284221,9,195778,PN1997.2 .B53 2011,,Black swan
284416,9,195966,PN1997 .J8733 2001,,Jurassic Park III
284669,9,196174,PN1997 C5442 2007,,Children of men
286224,9,197689,PN1997 .J863 2007,,The jungle book
286521,9,197968,PZ73.R79835 Hap 1998,"Rowling, J. K",Harry Potter y la piedra filosofal =
287042,9,198665,PN1997 .P6473 2005,,The Polar Express
287043,9,198666,PN1997 .N673 2005,,The notebook
287762,9,201301,PN1997 .M3234 2009,,Madea goes to jail
288082,9,201596,DK4348.K67 S76 2009,"Storozynski, Alex.",The peasant prince :
288825,9,202296,PN1997 .T5725 2012,,Titanic
289039,9,202506,PN1997 .A842 2002,,Atlantis
289838,9,203273,PN1997 B733 2012,,Breaking dawn.
291258,9,205893,PN1997 .M4325 2011,,Megamind
291668,9,206700,PN1997 .C324 2011,,The cabin in the woods
293517,9,317101,PN1997 .P7376 2006,,Pretty in pink
293662,9,317233,PN1997 .H862 2014,,The hunger games
294306,9,317893,PS3604.O34 A77 2014,"Doerr, Anthony,",All the light we cannot see :
296577,9,331180,QA276 .I585 2013,,An introduction to statistical learning :
296716,9,331303,PN1997 .S445 2015,,Selma
296717,9,331304,D16.9 .T85 2015,"Trouillot, Michel-Rolph,",Silencing the past :
297283,9,342504,PS3557.A22 O98 1991,"Gabaldon, Diana",Outlander :
298116,9,343621,PN1997 .M456 2015,,Minions
298657,9,347179,PN1992.77 .D6966 2016,,Downton Abbey
298755,9,347209,Pers Copy X 298 C.2,,Complex Trauma in Children and Adolescents.
299577,9,347557,PN1997 .D583 2014,,Divergent
299594,9,347575,LD - Temp Call #  -,,"Les Jeunes, L'immigration, et l'agitation sociale en France contemporaine"
300156,9,347943,PN1997 .S72783 2016,,Star Wars
300187,9,347943,PN1997 .S72783 2016,,Star Wars
301883,9,348810,Pers Copy X 289,,An Introduction to Short Story Craft./Gilkes
302397,9,349054,Pers Copy B 194,,Approaches to Teaching./FENSTERMACHER & SOLTIS
303224,9,349586,PN1997 .F561 2016,,Finding Dory
303865,9,350013,PN1997 .S285 2016,,Sausage party
304298,9,350337,PN1997 .H324 2017,,Hacksaw Ridge
304550,9,350445,PN1997 .J635 2015,,John Wick
304863,9,350671,PS3523.E94 I8 2017,"Lewis, Sinclair,",It can't happen here /
305487,9,351744,PN1997 .A674 2016,,April and the extraordinary world (videorecording] /
306081,9,352004,KB1580 .J83 2017,,"Judging faith, punishing sin :"
306519,9,352169,Pers Copy B 513,,Ataques de Hambre. / E. Herman
308009,9,361012,QH430 .K574 2015,"Klug, William S.,",Concepts of genetics /
308468,9,361623,PN1997 .B329 2017,,Baby driver
309398,9,362402,PN1997 .J876 2018,,Justice League
310766,9,363304,Pers Copy B 726,,"El capibara con botas - Canion, Mira"
310955,9,363455,Pers Copy B 378,,"Mi Tierra, Mi Pueblo, Mi Gente / Daly"
312066,9,105719,Per Z 1219 .N4,,The New York review of books.
312555,9,364529,Pers Copy B 226,,Classical Myth / POWELL
315492,9,173799,Pers Copy B 2001,"Readence, Bean & Baldwin. ",Content Area Literacy.
315829,9,366955,Pers Copy B 2007,,Selena
151808,8,96179,RA1242.P69 P64,,Poisoning of Michigan
246167,8,164100,PN1997 W592 1999,,The Wizard of Oz
248421,8,165149,D13 .G47 1998,,A global encyclopedia of historical writing /
252566,8,168612,MA LED CSR L62,,The Complete studio recordings
253664,8,169595,LA212 .S3528 2002,,"School, the story of American public education"
253667,8,169595,LA212 .S3528 2002,,"School, the story of American public education"
254137,8,169883,PN1997 .P572 2003,,Pirates of the Caribbean
256734,8,172320,MA STEE RS S 12,,Royal scam
257927,8,173492,MA MOTT MOTT M 25,,Mott
261370,8,176255,PZ8.3.G27 Hor 1982,"Seuss,",Horton hears a Who! /
261463,8,176347,N6370 .S565 2004,"Smith, Jeffrey Chipps,",The Northern Renaissance /
265255,8,179479,PZ8.3.G94 Is 1989,"Guarino, Deborah.",Is your mama a llama? /
268878,8,182630,PN1997 .E8376 2004,,Eternal sunshine of the spotless mind
269008,8,182748,PZ7.Z66 Hap 2002,"Zion, Gene.",Harry the dirty dog /
269459,8,183173,MA ALAN AA A 24,,Ammonia Avenue
270553,8,184000,S CHEE BB C 23,,Big bambu
271073,8,184221,HV6505 .S34 2004,"Schechter, Harold",The serial killer files :
271258,8,184393,PN1995.9.F6735 F477 2005,,Die fetten Jahre sind vorbei!
272178,8,185211,PN1997 .M4373 1999,,Meet Joe Black
273582,8,186426,PN1997 .N373 2008,,National treasure.
276322,8,188779,PN1992.77 .H543 2009,,High school musical 3.
280650,8,192526,PN1997 .Z65 2010,,Zombieland
281416,8,193233,NB175 .H39,"Hearn, M. F.",Romanesque sculpture :
281472,8,193289,SB191.M2 K56 2008,,King corn
281942,8,193706,PN1992.77 .D62783 2007,,Doctor Who.
282161,8,193917,PN1997 .T697 2010,,Toy story
282556,8,194263,HV9950 .A437 2010,"Alexander, Michelle.",The new Jim Crow :
282711,8,194407,PN1997 .S686 2010,,The sound of music
283339,8,194978,PN1997 .E3762 2010,,Eat pray love
284529,8,196077,PN1997 .K5637 2011,,The king's speech
284811,8,196311,N6370 .S6 2005,"Snyder, James,",Northern Renaissance art :
286444,8,197893,HQ1421 .M57 2011,,Miss representation
287173,8,198843,PN1997 .M526 2011,,Midnight in Paris
289632,8,203010,HV5822.M3 M266 2012,,Marijuana :
290073,8,203549,PN1997 .S593 2013,,Skyfall :
290230,8,203657,PN1997 .L543 2013,,Life of Pi
290563,8,203978,PN1992.77 .M62 2010,,Modern family
290671,8,204127,PN1997 .S233 2013,,Safe haven
291324,8,206038,PZ7.R210154 B66 2013,"Ray, Mary Lyn.",Boom! :
291965,8,206981,PN1997 .I7665 2013,,Iron man 3
292188,8,207185,PN1997 .P324 2013,,Pacific Rim
292715,8,208634,PN1997 .W674 2013,,The world's end
292719,8,208638,PN1997 .F7363 2013,,Frances Ha
292749,8,209000,PN1997 .D471 2013,,Despicable me 2
293050,8,316359,PS3623.E432449 M37 2014,"Weir, Andy.",The Martian :
293520,8,317104,PN1997 .B7325 2008,,The breakfast club :
293525,8,317108,PN1997 .M6678 2006,,Monster house
293823,8,317396,PN1997 .H623 2014,,The hobbit
